ID;Name;Overall rating;Potential;Growth;Age;Age group;Team;Position rank;Position;IMC;Foot;Value;Wage;Goalkeeping;Total stats;Body type;Acceleration type;Classement 23/24;Classement 22/23;Classement 21/22;Classement moyen;Palmares 
239085;E. Haaland;91;93;2;23;Major;Manchester City;Attacker;ST;24,7;Left;100000000;420000;10;73;Unique;Controlled Lengthy;1;1;1;1;10
222665;M. Ødegaard;89;90;1;25;Major;Arsenal;Midfielder;CM;21,5;Left;100000000;240000;12;77;Lean (170-185);Controlled Explosive;2;2;5;3;13
246669;B. Saka;88;90;2;22;Junior;Arsenal;Attacker;RW;20,5;Left;100000000;210000;10;76;Lean (170-185);Mostly Explosive;2;2;5;3;13
231866;Rodri;91;91;0;28;Major;Manchester City;Midfielder;CDM;22,5;Right;100000000;440000;10;80;Normal (185+);Controlled Lengthy;1;1;1;1;10
237692;P. Foden;87;89;2;24;Major;Manchester City;Midfielder;CAM;23,6;Left;100000000;210000;10;74;Unique;Explosive;1;1;1;1;10
209331;M. Salah;90;90;0;32;Senior;Liverpool;Attacker;RM;23,5;Left;95000000;230000;12;75;Unique;Mostly Explosive;3;5;2;3;19
257534;C. Palmer;86;89;3;22;Junior;Chelsea;Midfielder;CAM;22,2;Left;94500000;170000;10;73;Lean (185+);Controlled;6;12;3;7;6
243715;W. Saliba;87;89;2;23;Major;Arsenal;Defender;CB;22,8;Right;92000000;170000;8;68;Normal (185+);Controlled Lengthy;2;2;5;3;13
234378;D. Rice;87;88;1;25;Major;Arsenal;Midfielder;CDM;23,4;Right;85000000;190000;9;77;Normal (185+);Controlled Lengthy;2;2;5;3;13
239837;A. Mac Allister;86;88;2;25;Major;Liverpool;Midfielder;CM;23,2;Right;84500000;150000;11;79;Normal (170-185);Controlled Explosive;3;5;2;3;19
239818;Rúben Dias;88;88;0;27;Major;Manchester City;Defender;CB;23,4;Right;84000000;230000;9;68;Normal (185+);Controlled Lengthy;1;1;1;1;10
212198;Bruno Fernandes;87;87;0;29;Major;Manchester United;Midfielder;CAM;21,5;Right;78000000;190000;13;79;Unique;Controlled Explosive;8;3;6;6;20
218667;Bernardo Silva;87;87;0;29;Major;Manchester City;Midfielder;CM;21,4;Left;77500000;230000;11;78;Lean (170-185);Explosive;1;1;1;1;10
231281;T. Alexander-Arnold;86;87;1;25;Major;Liverpool;Midfielder;CM;22,2;Right;74000000;140000;11;79;Unique;Controlled Explosive;3;5;2;3;19
