ID;Name;Overall rating;Potential;Growth;Age;Age group;Team;Position rank;Position;IMC;Foot;Joined;Value;Wage;Goalkeeping;Total stats;Body type;Acceleration type;Classement 23/24;Classement 22/23;Classement 21/22;Classement moyen;Palmares ;Value_bins
239085;E. Haaland;91;93;2;23;Major;Manchester City;Attacker;ST;24,7;Left;01-07-22;100;420000;10;73;Unique;Controlled Lengthy;1;1;1;1;10;>50
222665;M. Ødegaard;89;90;1;25;Major;Arsenal;Midfielder;CM;21,5;Left;20-08-21;100;240000;12;77;Lean (170-185);Controlled Explosive;2;2;5;3;13;>50
246669;B. Saka;88;90;2;22;Junior;Arsenal;Attacker;RW;20,5;Left;14-09-18;100;210000;10;76;Lean (170-185);Mostly Explosive;2;2;5;3;13;>50
231866;Rodri;91;91;0;28;Major;Manchester City;Midfielder;CDM;22,5;Right;04-07-19;100;440000;10;80;Normal (185+);Controlled Lengthy;1;1;1;1;10;>50
237692;P. Foden;87;89;2;24;Major;Manchester City;Midfielder;CAM;23,6;Left;06-12-16;100;210000;10;74;Unique;Explosive;1;1;1;1;10;>50
209331;M. Salah;90;90;0;32;Senior;Liverpool;Attacker;RM;23,5;Left;01-07-17;95;230000;12;75;Unique;Mostly Explosive;3;5;2;3;19;>50
257534;C. Palmer;86;89;3;22;Junior;Chelsea;Midfielder;CAM;22,2;Left;01-09-23;94,5;170000;10;73;Lean (185+);Controlled;6;12;3;7;6;>50
243715;W. Saliba;87;89;2;23;Major;Arsenal;Defender;CB;22,8;Right;25-07-19;92;170000;8;68;Normal (185+);Controlled Lengthy;2;2;5;3;13;>50
234378;D. Rice;87;88;1;25;Major;Arsenal;Midfielder;CDM;23,4;Right;15-07-23;85;190000;9;77;Normal (185+);Controlled Lengthy;2;2;5;3;13;>50
239837;A. Mac Allister;86;88;2;25;Major;Liverpool;Midfielder;CM;23,2;Right;14-06-23;84,5;150000;11;79;Normal (170-185);Controlled Explosive;3;5;2;3;19;>50
239818;Rúben Dias;88;88;0;27;Major;Manchester City;Defender;CB;23,4;Right;29-09-20;84;230000;9;68;Normal (185+);Controlled Lengthy;1;1;1;1;10;>50
212198;Bruno Fernandes;87;87;0;29;Major;Manchester United;Midfielder;CAM;21,5;Right;30-01-20;78;190000;13;79;Unique;Controlled Explosive;8;3;6;6;20;>50
218667;Bernardo Silva;87;87;0;29;Major;Manchester City;Midfielder;CM;21,4;Left;01-07-17;77,5;230000;11;78;Lean (170-185);Explosive;1;1;1;1;10;>50
231281;T. Alexander-Arnold;86;87;1;25;Major;Liverpool;Midfielder;CM;22,2;Right;07-10-15;74;140000;11;79;Unique;Controlled Explosive;3;5;2;3;19;>50
192985;K. De Bruyne;90;90;0;33;Senior;Manchester City;Midfielder;CM;22,9;Right;30-08-15;73,5;300000;11;78;Unique;Controlled;1;1;1;1;10;>50
233731;A. Isak;85;87;2;24;Major;Newcastle United;Attacker;ST;20,9;Right;26-08-22;71;155000;8;69;Lean (185+);Controlled;7;4;11;7;4;>50
232580;Gabriel;86;87;1;26;Major;Arsenal;Defender;CB;24,1;Left;01-09-20;70;180000;10;65;Lean (185+);Controlled Lengthy;2;2;5;3;13;>50
200104;H. Son;87;87;0;31;Senior;Tottenham Hotspur;Attacker;ST;23,3;Right;28-08-15;67,5;200000;11;73;Unique;Controlled Lengthy;5;8;4;6;2;>50
203376;V. van Dijk;89;89;0;32;Senior;Liverpool;Defender;CB;24,7;Right;01-01-18;67;200000;12;74;Unique;Controlled Lengthy;3;5;2;3;19;>50
241096;S. Tonali;85;87;2;24;Major;Newcastle United;Midfielder;CDM;24,1;Right;03-07-23;63;135000;9;79;Unique;Controlled;7;4;11;7;4;>50
224458;Diogo Jota;85;85;0;27;Major;Liverpool;Attacker;ST;22,1;Right;19-09-20;58,5;155000;11;74;Normal (170-185);Controlled Explosive;3;5;2;3;19;>50
220697;J. Maddison;85;85;0;27;Major;Tottenham Hotspur;Midfielder;CAM;23,8;Right;28-06-23;57,5;155000;13;73;Lean (170-185);Controlled Explosive;5;8;4;6;2;>50
247851;Bruno Guimarães;85;86;1;26;Major;Newcastle United;Midfielder;CM;22,3;Right;31-01-22;56,5;155000;11;78;Lean (170-185);Controlled;7;4;11;7;4;>50
256079;M. Caicedo;84;88;4;22;Junior;Chelsea;Midfielder;CDM;23;Right;14-08-23;56;135000;11;74;Normal (170-185);Controlled;6;12;3;7;6;>50
221697;O. Watkins;85;85;0;28;Major;Aston Villa;Attacker;ST;21,6;Right;09-09-20;55;185000;12;72;Normal (170-185);Controlled;4;7;14;8;7;>50
212831;Alisson;89;89;0;31;Senior;Liverpool;Goalkeeper;GK;24,4;Right;19-07-18;54,5;130000;87;49;Unique;Controlled Lengthy;3;5;2;3;19;>50
251517;J. Gvardiol;84;87;3;22;Junior;Manchester City;Defender;CB;23,4;Left;05-08-23;54,5;140000;8;76;Normal (185+);Controlled Lengthy;1;1;1;1;10;>50
225193;Mikel Merino;85;85;0;28;Major;Arsenal;Midfielder;CM;23,2;Left;27-08-24;54;185000;11;79;Normal (185+);Controlled Lengthy;2;2;5;3;13;>50
210257;Ederson;87;87;0;30;Major;Manchester City;Goalkeeper;GK;24,3;Left;01-07-17;53;145000;86;55;Unique;Controlled Lengthy;1;1;1;1;10;>50
235243;M. de Ligt;84;87;3;24;Major;Manchester United;Defender;CB;24,9;Right;13-08-24;51,5;115000;11;69;Unique;Controlled Lengthy;8;3;6;6;20;>50
247394;D. Kulusevski;83;86;3;24;Major;Tottenham Hotspur;Midfielder;CAM;23,1;Left;01-07-23;49,5;110000;9;73;Lean (185+);Controlled Lengthy;5;8;4;6;2;45-50
242516;C. Gakpo;83;86;3;25;Major;Liverpool;Attacker;ST;21,3;Right;03-01-23;48;115000;9;71;Lean (185+);Controlled;3;5;2;3;19;45-50
270409;Savinho;82;88;6;20;Junior;Manchester City;Attacker;LM;22,9;Left;18-07-24;47,5;115000;10;64;Lean (170-185);Mostly Explosive;1;1;1;1;10;45-50
237678;I. Konaté;84;86;2;25;Major;Liverpool;Defender;CB;25,2;Right;01-07-21;47;120000;10;63;Normal (185+);Controlled Lengthy;3;5;2;3;19;45-50
264453;M. van de Ven;83;87;4;23;Major;Tottenham Hotspur;Defender;CB;23,1;Left;08-08-23;47;105000;10;68;Normal (185+);Controlled Lengthy;5;8;4;6;2;45-50
235805;F. Chiesa;84;84;0;26;Major;Liverpool;Attacker;RM;22,9;Right;29-08-24;46;130000;7;73;Unique;Explosive;3;5;2;3;19;45-50
232411;C. Nkunku;84;84;0;26;Major;Chelsea;Midfielder;CAM;21,7;Right;01-07-23;46;165000;9;74;Normal (170-185);Mostly Explosive;6;12;3;7;6;45-50
232488;C. Romero;84;86;2;26;Major;Tottenham Hotspur;Defender;CB;23,1;Right;30-08-22;46;135000;9;67;Normal (185+);Controlled Lengthy;5;8;4;6;2;45-50
243576;Pedro Porro;83;86;3;24;Major;Tottenham Hotspur;Defender;RWB;23,1;Right;01-07-23;46;105000;10;77;Normal (170-185);Controlled Explosive;5;8;4;6;2;45-50
235790;K. Havertz;83;85;2;25;Major;Arsenal;Midfielder;CAM;22;Left;28-06-23;46;155000;9;71;Unique;Controlled;2;2;5;3;13;45-50
231936;B. White;84;85;1;26;Major;Arsenal;Defender;RB;22,5;Right;30-07-21;45,5;155000;8;68;Lean (185+);Controlled Lengthy;2;2;5;3;13;45-50
241084;L. Díaz;84;84;0;27;Major;Liverpool;Attacker;LM;22,5;Right;31-01-22;45;130000;13;72;Unique;Mostly Explosive;3;5;2;3;19;45-50
203574;J. Stones;85;85;0;30;Major;Manchester City;Defender;CB;21,5;Right;09-08-16;44;185000;10;72;Normal (185+);Controlled Lengthy;1;1;1;1;10;40-45
239301;L. Martínez;84;85;1;26;Major;Manchester United;Defender;CB;24,3;Left;27-07-22;43,5;135000;11;76;Normal (170-185);Controlled;8;3;6;6;20;40-45
245155;M. Kudus;82;86;4;23;Major;West Ham United;Attacker;LM;22,3;Left;27-08-23;43,5;95000;8;72;Normal (170-185);Controlled Explosive;9;14;7;10;0;40-45
247090;E. Fernández;82;86;4;23;Major;Chelsea;Midfielder;CM;24,6;Right;31-01-23;43,5;115000;8;75;Normal (170-185);Controlled;6;12;3;7;6;40-45
233049;J. Sancho;82;86;4;24;Major;Chelsea;Midfielder;CAM;23,5;Right;23-07-21;43,5;100000;10;65;Unique;Mostly Explosive;6;12;3;7;6;40-45
242964;A. Gordon;82;86;4;23;Major;Newcastle United;Attacker;RM;21,5;Right;29-01-23;43,5;120000;8;71;Lean (170-185);Controlled;7;4;11;7;4;40-45
202811;E. Martínez;87;87;0;31;Senior;Aston Villa;Goalkeeper;GK;23,1;Right;16-09-20;42;125000;85;52;Stocky (185+);Controlled Lengthy;4;7;14;8;7;40-45
