Source,Target,Weight
Industrial sociology,Deskilling,0.3333333333333333
Industrial sociology,W.E.B. Du Bois,0.3333333333333333
Industrial sociology,Social psychology (sociology),0.3333333333333333
On-the-job training,Human interaction,0.25
On-the-job training,Manager,0.25
On-the-job training,Social cognitive theory,0.25
On-the-job training,Mentor,0.25
Organizational commitment,Sexual harassment,0.01818181818181818
Organizational commitment,Media psychology,0.01818181818181818
Organizational commitment,Workplace bullying,0.01818181818181818
Organizational commitment,List of countries by unemployment rate,0.01818181818181818
Organizational commitment,Gender pay gap,0.01818181818181818
Organizational commitment,Humanistic psychology,0.01818181818181818
Organizational commitment,Termination of employment,0.01818181818181818
Organizational commitment,Performance-related pay,0.01818181818181818
Organizational commitment,Cooperative,0.01818181818181818
Organizational commitment,Sunday scaries,0.01818181818181818
Organizational commitment,Supervisor,0.01818181818181818
Organizational commitment,Personality–job fit theory,0.01818181818181818
Organizational commitment,Organizational effectiveness,0.01818181818181818
Organizational commitment,Sport psychology,0.01818181818181818
Organizational commitment,Wage,0.01818181818181818
Organizational commitment,Community psychology,0.01818181818181818
Organizational commitment,Organization workshop,0.01818181818181818
Organizational commitment,Presenteeism,0.01818181818181818
Organizational commitment,Permanent employment,0.01818181818181818
Organizational commitment,High commitment management,0.01818181818181818
Organizational commitment,Work accident,0.01818181818181818
Organizational commitment,Organizational ethics,0.01818181818181818
Organizational commitment,Schedule (workplace),0.01818181818181818
Organizational commitment,Organizational theory,0.01818181818181818
Organizational commitment,Cellular organizational structure,0.01818181818181818
Organizational commitment,Profession,0.01818181818181818
Organizational commitment,Organizational engineering,0.01818181818181818
Organizational commitment,Organizational performance,0.01818181818181818
Organizational commitment,Organizational justice,0.01818181818181818
Organizational commitment,Positive psychology,0.01818181818181818
Organizational commitment,Self-report inventory,0.01818181818181818
Organizational commitment,Person–environment fit,0.01818181818181818
Organizational commitment,Contingent work,0.01818181818181818
Organizational commitment,Organization development,0.01818181818181818
Organizational commitment,Outline of organizational theory,0.01818181818181818
Organizational commitment,Workplace harassment,0.01818181818181818
Organizational commitment,Remote work,0.01818181818181818
Organizational commitment,Executive search,0.01818181818181818
Organizational commitment,Comparative psychology,0.01818181818181818
Organizational commitment,Abnormal psychology,0.01818181818181818
Organizational commitment,Organizational diagnostics,0.01818181818181818
Organizational commitment,Person-environment fit,0.01818181818181818
Organizational commitment,Industrial and organizational psychology,0.01818181818181818
Organizational commitment,Job satisfaction,0.01818181818181818
Organizational commitment,Realistic job preview,0.01818181818181818
Organizational commitment,Shift work,0.01818181818181818
Organizational commitment,Temporary work,0.01818181818181818
Organizational commitment,Exit interview,0.01818181818181818
Organizational commitment,Mentorship,0.01818181818181818
Organizational commitment,Employee benefits,0.01818181818181818
Organizational commitment,Pink slip (employment),0.01818181818181818
Organizational commitment,Psychologist,0.01818181818181818
Organizational commitment,Retirement,0.01818181818181818
Organizational commitment,Sick leave,0.01818181818181818
Organizational commitment,Epilepsy and employment,0.01818181818181818
Workplace impact of artificial intelligence,Workwear,0.25
Workplace impact of artificial intelligence,Deskilling,0.25
Workplace impact of artificial intelligence,Technical standard,0.25
Workplace impact of artificial intelligence,Decision support system,0.25
Sexual harassment,Workplace bullying,0.02857142857142857
Sexual harassment,List of countries by unemployment rate,0.02857142857142857
Sexual harassment,Power distance,0.02857142857142857
Sexual harassment,Gender pay gap,0.02857142857142857
Sexual harassment,Termination of employment,0.02857142857142857
Sexual harassment,Taste-based discrimination,0.02857142857142857
Sexual harassment,Performance-related pay,0.02857142857142857
Sexual harassment,Cooperative,0.02857142857142857
Sexual harassment,Sunday scaries,0.02857142857142857
Sexual harassment,Supervisor,0.02857142857142857
Sexual harassment,Wage,0.02857142857142857
Sexual harassment,Permanent employment,0.02857142857142857
Sexual harassment,Work accident,0.02857142857142857
Sexual harassment,Executive Order 13087,0.02857142857142857
Sexual harassment,Sex workers' rights,0.02857142857142857
Sexual harassment,Person–environment fit,0.02857142857142857
Sexual harassment,Contingent work,0.02857142857142857
Sexual harassment,Workplace harassment,0.02857142857142857
Sexual harassment,Remote work,0.02857142857142857
Sexual harassment,Social exclusion,0.02857142857142857
Sexual harassment,Executive search,0.02857142857142857
Sexual harassment,White privilege,0.02857142857142857
Sexual harassment,Job satisfaction,0.02857142857142857
Sexual harassment,Shift work,0.02857142857142857
Sexual harassment,Temporary work,0.02857142857142857
Sexual harassment,Exit interview,0.02857142857142857
Sexual harassment,Mentorship,0.02857142857142857
Sexual harassment,Sex discrimination,0.02857142857142857
Sexual harassment,Employee benefits,0.02857142857142857
Sexual harassment,Pink slip (employment),0.02857142857142857
Sexual harassment,Retirement,0.02857142857142857
Sexual harassment,"The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",0.02857142857142857
Sexual harassment,Social privilege,0.02857142857142857
Sexual harassment,Sick leave,0.02857142857142857
Sexual harassment,Epilepsy and employment,0.02857142857142857
Caste system in India,Castes in India,0.16666666666666666
Caste system in India,Ethnic relations in India,0.16666666666666666
Caste system in India,Positive discrimination,0.16666666666666666
Caste system in India,Ranked society,0.16666666666666666
Caste system in India,Geneticist,0.16666666666666666
Caste system in India,Ethnographic,0.16666666666666666
Work motivation,Fringe benefits,0.3333333333333333
Work motivation,Work design,0.3333333333333333
Work motivation,SMART criteria,0.3333333333333333
Media psychology,Public relations,0.2
Media psychology,Internet addiction disorder,0.2
Media psychology,Human-interest story,0.2
Media psychology,Entertainment,0.2
Media psychology,Social media,0.2
Dead-end job,Organizational commitment,0.02127659574468085
Dead-end job,Sexual harassment,0.02127659574468085
Dead-end job,Corporate ladder,0.02127659574468085
