,Overall rating,Potential,Growth,Age,Height,Weight,Value,Wage,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,Total stats,Classement 23/24,Classement 22/23,Classement 21/22,Palmares 
Overall rating,1.0,0.6014169510054526,-0.5125442577766133,0.42327035797519297,0.0015691925069252948,0.11918164433256977,0.9434315877093823,0.8958271340325196,0.5359159099684715,0.5489773701190914,0.36219626254713566,0.5965496477833486,0.5931816700576052,0.3699754034842963,0.012508089464967152,0.6619342609533232,-0.40600049360037116,-0.34261265025070864,-0.2902359258755552,0.3003827820094878
Potential,0.6014169510054526,1.0,0.2769885490909076,-0.3410220447633152,-0.06746484517470809,-0.058403983640066076,0.7581514969346145,0.5012856348017575,0.3276018865482231,0.3858406654775006,0.43414663684467697,0.34618183772331496,0.28949983520043504,0.20202251657940468,-0.17826046652890293,0.38784174318455605,-0.4810056953504762,-0.4056460426819464,-0.4382003664398323,0.3738622538538654
Growth,-0.5125442577766133,0.2769885490909076,1.0,-0.9530498403204881,-0.06010449758541485,-0.1859670157022371,-0.2645706052512005,-0.5237916281055396,-0.31489652158114706,-0.2738697604647684,0.03398736855063663,-0.3438136773844378,-0.40141812174415625,-0.18346017850933596,-0.2480174355791071,-0.3721404999682392,0.018957187310568075,0.018236323696431685,-0.05989547625583598,-0.019468400266243142
Age,0.42327035797519297,-0.3410220447633152,-0.9530498403204881,1.0,0.12972215825020303,0.2501509205326039,0.15211875069614944,0.427375429520729,0.19813336181693267,0.15555411725034612,-0.1683254886882544,0.23794628744639132,0.30282619021189067,0.14437251256838574,0.2938457819433812,0.2558695700219591,0.01235247607098303,0.005042131293868168,0.07411715676367897,-0.006157480922815694
Height,0.0015691925069252948,-0.06746484517470809,-0.06010449758541485,0.12972215825020303,1.0,0.7568515178799937,-0.05443962381618938,-0.0576787684201593,-0.36320879428971414,-0.48018566151492903,-0.6611690026767174,-0.15235052561745213,-0.3246953434965181,-0.04885863926735373,0.19504785488660567,-0.37388126752072026,-0.03365790378826277,-0.01647305882358092,0.007657542310515648,0.04095456357478028
Weight,0.11918164433256977,-0.058403983640066076,-0.1859670157022371,0.2501509205326039,0.7568515178799937,1.0,0.029833790139165286,0.05931232982381286,-0.2522096007304548,-0.3484316465413179,-0.5567040666568581,-0.018049287510421515,-0.1904986111900443,0.01253317924060066,0.177700440442057,-0.23102508373708286,-0.0633260957610572,-0.05776635232498842,-0.052183790521473504,0.04290520985220143
Value,0.9434315877093823,0.7581514969346145,-0.2645706052512005,0.15211875069614944,-0.05443962381618938,0.029833790139165286,1.0,0.8507390815268956,0.5651798654506636,0.5884010241300961,0.49014971044293915,0.6194184595386929,0.5755612556844847,0.35479111628427557,-0.09534414706131294,0.6675575424604553,-0.41062095055459863,-0.3412997623185894,-0.3116018675580516,0.306694718609597
Wage,0.8958271340325196,0.5012856348017575,-0.5237916281055396,0.427375429520729,-0.0576787684201593,0.05931232982381286,0.8507390815268956,1.0,0.6272150168728595,0.6313159329073855,0.3998125783057371,0.6690487071206913,0.6652140936708149,0.41837195017412926,-0.07588763935651642,0.7098632092597303,-0.5264607649332548,-0.4718514688298296,-0.35490653654917736,0.32235316533916675
Attacking,0.5359159099684715,0.3276018865482231,-0.31489652158114706,0.19813336181693267,-0.36320879428971414,-0.2522096007304548,0.5651798654506636,0.6272150168728595,1.0,0.8642033744836891,0.6391086205550895,0.8597498817650806,0.8125140230543395,0.17487098956630182,-0.23109328960588515,0.8120481369661431,-0.15987312522398456,-0.1201329164853067,-0.11639409195906107,0.12118318452935284
Skill,0.5489773701190914,0.3858406654775006,-0.2738697604647684,0.15555411725034612,-0.48018566151492903,-0.3484316465413179,0.5884010241300961,0.6313159329073855,0.8642033744836891,1.0,0.6646784929514492,0.7462986960013909,0.8334605421245391,0.3102337686362622,-0.22960974657911484,0.8834459774466413,-0.22583065276135647,-0.18926422797977388,-0.18698201971450776,0.18227258598049656
